# x y z u_s u_c u(t)
1.000000000000e+00 3.225806451613e-02 0.000000000000e+00 1.000000000000e+00 5.000000000000e-01 -7.520620496592e-02
0.000000000000e+00 6.451612903226e-02 0.000000000000e+00 5.200194911201e-15 2.600097455601e-15 -3.910869243545e-16
3.225806451613e-02 6.451612903226e-02 0.000000000000e+00 5.201464490037e-15 2.600732245019e-15 -3.911824045607e-16
6.451612903226e-02 6.451612903226e-02 0.000000000000e+00 1.040038982240e-14 5.200194911201e-15 -7.821738487091e-16
9.677419354839e-02 6.451612903226e-02 0.000000000000e+00 6.799064409571e-13 3.399532204785e-13 -5.113318315626e-14
1.290322580645e-01 6.451612903226e-02 0.000000000000e+00 2.130519855119e-11 1.065259927560e-11 -1.602283129081e-12
1.612903225806e-01 6.451612903226e-02 0.000000000000e+00 3.099609706399e-10 1.549804853199e-10 -2.331098828938e-11
1.935483870968e-01 6.451612903226e-02 0.000000000000e+00 2.763601983999e-09 1.381800991999e-09 -2.078400172528e-10
2.258064516129e-01 6.451612903226e-02 0.000000000000e+00 1.757261049002e-08 8.786305245009e-09 -1.321569346299e-09
2.580645161290e-01 6.451612903226e-02 0.000000000000e+00 8.724479846752e-08 4.362239923376e-08 -6.561350195759e-09
2.903225806452e-01 6.451612903226e-02 0.000000000000e+00 3.585665673050e-07 1.792832836525e-07 -2.696643075467e-08
3.225806451613e-01 6.451612903226e-02 0.000000000000e+00 1.269578840943e-06 6.347894204714e-07 -9.548020653233e-08
3.548387096774e-01 6.451612903226e-02 0.000000000000e+00 3.984482249779e-06 1.992241124890e-06 -2.996577887599e-07
3.870967741935e-01 6.451612903226e-02 0.000000000000e+00 1.131969243166e-05 5.659846215830e-06 -8.513111091666e-07
4.193548387097e-01 6.451612903226e-02 0.000000000000e+00 2.957875579003e-05 1.478937789502e-05 -2.224505970582e-06
4.516129032258e-01 6.451612903226e-02 0.000000000000e+00 7.197739127232e-05 3.598869563616e-05 -5.413146440938e-06
4.838709677419e-01 6.451612903226e-02 0.000000000000e+00 1.647232046062e-04 8.236160230312e-05 -1.238820708826e-05
5.161290322581e-01 6.451612903226e-02 0.000000000000e+00 3.573546732282e-04 1.786773366141e-04 -2.687528880033e-05
5.483870967742e-01 6.451612903226e-02 0.000000000000e+00 7.396848616251e-04 3.698424308125e-04 -5.562889131356e-05
5.806451612903e-01 6.451612903226e-02 0.000000000000e+00 1.468688638387e-03 7.343443191933e-04 -1.104544987696e-04
6.129032258065e-01 6.451612903226e-02 0.000000000000e+00 2.809977778085e-03 1.404988889042e-03 -2.113277647283e-04
6.451612903226e-01 6.451612903226e-02 0.000000000000e+00 5.200194911207e-03 2.600097455603e-03 -3.910869243549e-04
6.774193548387e-01 6.451612903226e-02 0.000000000000e+00 9.338802927834e-03 4.669401463917e-03 -7.023359271270e-04
7.096774193548e-01 6.451612903226e-02 0.000000000000e+00 1.632043927380e-02 8.160219636900e-03 -1.227398301159e-03
7.419354838710e-01 6.451612903226e-02 0.000000000000e+00 2.782234337214e-02 1.391117168607e-02 -2.092412858278e-03
7.741935483871e-01 6.451612903226e-02 0.000000000000e+00 4.636546017879e-02 2.318273008939e-02 -3.486970301545e-03
8.064516129032e-01 6.451612903226e-02 0.000000000000e+00 7.567279551879e-02 3.783639775940e-02 -5.691063770130e-03
8.387096774194e-01 6.451612903226e-02 0.000000000000e+00 1.211545836947e-01 6.057729184733e-02 -9.111576453902e-03
8.709677419355e-01 6.451612903226e-02 0.000000000000e+00 1.905569723316e-01 9.527848616579e-02 -1.433106671885e-02
9.032258064516e-01 6.451612903226e-02 0.000000000000e+00 2.948193946301e-01 1.474096973151e-01 -2.217224782048e-02
9.354838709677e-01 6.451612903226e-02 0.000000000000e+00 4.491957605305e-01 2.245978802653e-01 -3.378230843628e-02
9.677419354839e-01 6.451612903226e-02 0.000000000000e+00 6.747062460459e-01 3.373531230229e-01 -5.074209623191e-02
1.000000000000e+00 6.451612903226e-02 0.000000000000e+00 1.000000000000e+00 5.000000000000e-01 -7.520620496592e-02
0.000000000000e+00 9.677419354839e-02 0.000000000000e+00 6.747062460459e-13 3.373531230229e-13 -5.074209623191e-14
3.225806451613e-02 9.677419354839e-02 0.000000000000e+00 6.747075156247e-13 3.373537578123e-13 -5.074219171211e-14
6.451612903226e-02 9.677419354839e-02 0.000000000000e+00 6.799064409571e-13 3.399532204785e-13 -5.113318315626e-14
9.677419354839e-02 9.677419354839e-02 0.000000000000e+00 1.349412492092e-12 6.747062460459e-13 -1.014841924638e-13
1.290322580645e-01 9.677419354839e-02 0.000000000000e+00 2.197470460233e-11 1.098735230116e-11 -1.652634138388e-12
1.612903225806e-01 9.677419354839e-02 0.000000000000e+00 3.106304766910e-10 1.553152383455e-10 -2.336133929868e-11
1.935483870968e-01 9.677419354839e-02 0.000000000000e+00 2.764271490050e-09 1.382135745025e-09 -2.078903682621e-10
2.258064516129e-01 9.677419354839e-02 0.000000000000e+00 1.757327999607e-08 8.786639998035e-09 -1.321619697308e-09
2.580645161290e-01 9.677419354839e-02 0.000000000000e+00 8.724546797357e-08 4.362273398679e-08 -6.561400546768e-09
2.903225806452e-01 9.677419354839e-02 0.000000000000e+00 3.585672368111e-07 1.792836184056e-07 -2.696648110568e-08
3.225806451613e-01 9.677419354839e-02 0.000000000000e+00 1.269579510449e-06 6.347897552244e-07 -9.548025688334e-08
3.548387096774e-01 9.677419354839e-02 0.000000000000e+00 3.984482919285e-06 1.992241459643e-06 -2.996578391109e-07
3.870967741935e-01 9.677419354839e-02 0.000000000000e+00 1.131969310117e-05 5.659846550583e-06 -8.513111595176e-07
4.193548387097e-01 9.677419354839e-02 0.000000000000e+00 2.957875645954e-05 1.478937822977e-05 -2.224506020933e-06
4.516129032258e-01 9.677419354839e-02 0.000000000000e+00 7.197739194182e-05 3.598869597091e-05 -5.413146491289e-06
4.838709677419e-01 9.677419354839e-02 0.000000000000e+00 1.647232052757e-04 8.236160263787e-05 -1.238820713861e-05
5.161290322581e-01 9.677419354839e-02 0.000000000000e+00 3.573546738977e-04 1.786773369488e-04 -2.687528885068e-05
5.483870967742e-01 9.677419354839e-02 0.000000000000e+00 7.396848622946e-04 3.698424311473e-04 -5.562889136391e-05
5.806451612903e-01 9.677419354839e-02 0.000000000000e+00 1.468688639056e-03 7.343443195281e-04 -1.104544988200e-04
6.129032258065e-01 9.677419354839e-02 0.000000000000e+00 2.809977778754e-03 1.404988889377e-03 -2.113277647787e-04
6.451612903226e-01 9.677419354839e-02 0.000000000000e+00 5.200194911876e-03 2.600097455938e-03 -3.910869244053e-04
6.774193548387e-01 9.677419354839e-02 0.000000000000e+00 9.338802928504e-03 4.669401464252e-03 -7.023359271774e-04
7.096774193548e-01 9.677419354839e-02 0.000000000000e+00 1.632043927447e-02 8.160219637235e-03 -1.227398301210e-03
7.419354838710e-01 9.677419354839e-02 0.000000000000e+00 2.782234337281e-02 1.391117168641e-02 -2.092412858328e-03
7.741935483871e-01 9.677419354839e-02 0.000000000000e+00 4.636546017946e-02 2.318273008973e-02 -3.486970301595e-03
8.064516129032e-01 9.677419354839e-02 0.000000000000e+00 7.567279551946e-02 3.783639775973e-02 -5.691063770181e-03
8.387096774194e-01 9.677419354839e-02 0.000000000000e+00 1.211545836953e-01 6.057729184767e-02 -9.111576453952e-03
8.709677419355e-01 9.677419354839e-02 0.000000000000e+00 1.905569723322e-01 9.527848616612e-02 -1.433106671890e-02
9.032258064516e-01 9.677419354839e-02 0.000000000000e+00 2.948193946308e-01 1.474096973154e-01 -2.217224782053e-02
9.354838709677e-01 9.677419354839e-02 0.000000000000e+00 4.491957605312e-01 2.245978802656e-01 -3.378230843633e-02
9.677419354839e-01 9.677419354839e-02 0.000000000000e+00 6.747062460465e-01 3.373531230233e-01 -5.074209623196e-02
1.000000000000e+00 9.677419354839e-02 0.000000000000e+00 1.000000000001e+00 5.000000000003e-01 -7.520620496597e-02
0.000000000000e+00 1.290322580645e-01 0.000000000000e+00 2.129999835628e-11 1.064999917814e-11 -1.601892042156e-12
3.225806451613e-02 1.290322580645e-01 0.000000000000e+00 2.129999962586e-11 1.064999981293e-11 -1.601892137636e-12
6.451612903226e-02 1.290322580645e-01 0.000000000000e+00 2.130519855119e-11 1.065259927560e-11 -1.602283129081e-12
9.677419354839e-02 1.290322580645e-01 0.000000000000e+00 2.197470460233e-11 1.098735230116e-11 -1.652634138388e-12
1.290322580645e-01 1.290322580645e-01 0.000000000000e+00 4.259999671256e-11 2.129999835628e-11 -3.203784084312e-12
1.612903225806e-01 1.290322580645e-01 0.000000000000e+00 3.312557688012e-10 1.656278844006e-10 -2.491248924461e-11
1.935483870968e-01 1.290322580645e-01 0.000000000000e+00 2.784896782160e-09 1.392448391080e-09 -2.094415182081e-10
2.258064516129e-01 1.290322580645e-01 0.000000000000e+00 1.759390528818e-08 8.796952644090e-09 -1.323170847254e-09
2.580645161290e-01 1.290322580645e-01 0.000000000000e+00 8.726609326568e-08 4.363304663284e-08 -6.562951696714e-09
2.903225806452e-01 1.290322580645e-01 0.000000000000e+00 3.585878621032e-07 1.792939310516e-07 -2.696803225562e-08
3.225806451613e-01 1.290322580645e-01 0.000000000000e+00 1.269600135741e-06 6.348000678705e-07 -9.548180803329e-08
3.548387096774e-01 1.290322580645e-01 0.000000000000e+00 3.984503544577e-06 1.992251772289e-06 -2.996593902609e-07
3.870967741935e-01 1.290322580645e-01 0.000000000000e+00 1.131971372646e-05 5.659856863229e-06 -8.513127106676e-07
4.193548387097e-01 1.290322580645e-01 0.000000000000e+00 2.957877708483e-05 1.478938854241e-05 -2.224507572083e-06
4.516129032258e-01 1.290322580645e-01 0.000000000000e+00 7.197741256712e-05 3.598870628356e-05 -5.413148042439e-06
4.838709677419e-01 1.290322580645e-01 0.000000000000e+00 1.647232259010e-04 8.236161295052e-05 -1.238820868976e-05
5.161290322581e-01 1.290322580645e-01 0.000000000000e+00 3.573546945230e-04 1.786773472615e-04 -2.687529040183e-05
5.483870967742e-01 1.290322580645e-01 0.000000000000e+00 7.396848829199e-04 3.698424414599e-04 -5.562889291506e-05
5.806451612903e-01 1.290322580645e-01 0.000000000000e+00 1.468688659681e-03 7.343443298407e-04 -1.104545003711e-04
